CategoryID,Category Path
57887,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Portafogli"
122321,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Sciarpe"
260014,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Set accessori"
57929,"Abbigliamento e accessori > Bambini > Bambino > Scarpe"
260986,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Felpe"
260982,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Giacche"
260984,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloncini"
260983,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloni"
260985,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Parte alta"
260987,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Tute e set"
175656,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Biancheria da notte"
175697,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Calzini"
155201,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Cappotti, giacche e gilet"
155200,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Felpe"
175652,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Grembiuli e divise"
175658,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Jeans"
175657,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Maglioni e cardigan"
175653,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Mare e piscina"
175655,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Pantaloncini"
175654,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > Pantaloni"
155199,"Abbigliamento e accessori > Bambini > Unisex > Abbigliamento (2-16 anni) > T-shirt, maglie e camicie"
155202,"Abbigliamento e accessori > Bambini > Unisex > Scarpe"
260988,"Abbigliamento e accessori > Bambini > Zaini e borse"
155226,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Felpe"
185079,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Giacche"
261046,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Gonne e skort"
260955,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Pantaloncini"
260954,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Pantaloni"
185082,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Parte alta"
185083,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Reggiseni sportivi"
185084,"Abbigliamento e accessori > Donna > Abbigliamento > Abbigliamento sportivo > Tute e set"
163593,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Accessori reggiseni"
63855,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Biancheria da notte"
11530,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Biancheria modellante"
45279,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Body"
11522,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Corsetti, bustini e guêpiere"
163586,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Reggicalze"
63853,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Reggiseni e completi intimi"
63854,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Slip"
11532,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Sottogonne e sottovesti"
11521,"Abbigliamento e accessori > Donna > Abbigliamento > Biancheria intima e da notte > Top e canottiere"
11525,"Abbigliamento e accessori > Donna > Abbigliamento > Calzetteria e calzini > Calze"
163588,"Abbigliamento e accessori > Donna > Abbigliamento > Calzetteria e calzini > Calzini"
11527,"Abbigliamento e accessori > Donna > Abbigliamento > Calzetteria e calzini > Collant, autoreggenti e parigine"
163587,"Abbigliamento e accessori > Donna > Abbigliamento > Calzetteria e calzini > Scaldamuscoli"
63862,"Abbigliamento e accessori > Donna > Abbigliamento > Cappotti, giacche e gilet"
260011,"Abbigliamento e accessori > Donna > Abbigliamento > Completi e set"
63864,"Abbigliamento e accessori > Donna > Abbigliamento > Gonne"
11554,"Abbigliamento e accessori > Donna > Abbigliamento > Jeans"
169001,"Abbigliamento e accessori > Donna > Abbigliamento > Leggings"
63866,"Abbigliamento e accessori > Donna > Abbigliamento > Maglioni e cardigan"
63867,"Abbigliamento e accessori > Donna > Abbigliamento > Mare e piscina"
11555,"Abbigliamento e accessori > Donna > Abbigliamento > Pantaloncini"
63863,"Abbigliamento e accessori > Donna > Abbigliamento > Pantaloni"
53159,"Abbigliamento e accessori > Donna > Abbigliamento > T-shirt, maglie e camicie"
63865,"Abbigliamento e accessori > Donna > Abbigliamento > Tailleur,abiti sartoriali,spezzati"
3009,"Abbigliamento e accessori > Donna > Abbigliamento > Tute intere e tutine"
63861,"Abbigliamento e accessori > Donna > Abbigliamento > Vestiti"
163570,"Abbigliamento e accessori > Donna > Accessori > Accessori borse"
45220,"Abbigliamento e accessori > Donna > Accessori > Accessori capelli"
15735,"Abbigliamento e accessori > Donna > Accessori > Agende e organizer"
45230,"Abbigliamento e accessori > Donna > Accessori > Cappelli"
3003,"Abbigliamento e accessori > Donna > Accessori > Cinture"
150955,"Abbigliamento e accessori > Donna > Accessori > Ciondoli e gioielli per scarpe"
168998,"Abbigliamento e accessori > Donna > Accessori > Copricapi e fascinator"
151486,"Abbigliamento e accessori > Donna > Accessori > Cravatte"
163573,"Abbigliamento e accessori > Donna > Accessori > Fibbie per cinture"
105559,"Abbigliamento e accessori > Donna > Accessori > Guanti e muffole"
179249,"Abbigliamento e accessori > Donna > Accessori > Occhiali da sole e accessori > Accessori"
45246,"Abbigliamento e accessori > Donna > Accessori > Occhiali da sole e accessori > Occhiali da sole"
179196,"Abbigliamento e accessori > Donna > Accessori > Occhiali da sole e accessori > Pezzi di ricambio e lenti"
105569,"Abbigliamento e accessori > Donna > Accessori > Ombrelli"
45237,"Abbigliamento e accessori > Donna > Accessori > Portachiavi"
169285,"Abbigliamento e accessori > Donna > Accessori > Portadocumenti"
45258,"Abbigliamento e accessori > Donna > Accessori > Portafogli e borsellini"
45238,"Abbigliamento e accessori > Donna > Accessori > Sciarpe, foulard e stole"
15738,"Abbigliamento e accessori > Donna > Accessori > Set accessori"
169291,"Abbigliamento e accessori > Donna > Borse e borsette"
11632,"Abbigliamento e accessori > Donna > Scarpe > Pantofole"
62107,"Abbigliamento e accessori > Donna > Scarpe > Sandali"
45333,"Abbigliamento e accessori > Donna > Scarpe > Scarpe basse"
55793,"Abbigliamento e accessori > Donna > Scarpe > Scarpe col tacco"
53548,"Abbigliamento e accessori > Donna > Scarpe > Scarpe comfort"
95672,"Abbigliamento e accessori > Donna > Scarpe > Scarpe da ginnastica"
53557,"Abbigliamento e accessori > Donna > Scarpe > Stivali"
260028,"Abbigliamento e accessori > Neonati > Abbigliamento > Abiti completi"
260026,"Abbigliamento e accessori > Neonati > Abbigliamento > Biancheria da notte"
260022,"Abbigliamento e accessori > Neonati > Abbigliamento > Body e pagliaccetti"
260027,"Abbigliamento e accessori > Neonati > Abbigliamento > Calze e collant"
260023,"Abbigliamento e accessori > Neonati > Abbigliamento > Cappotti, giacche e tute neve"
260024,"Abbigliamento e accessori > Neonati > Abbigliamento > Completi e set"
260025,"Abbigliamento e accessori > Neonati > Abbigliamento > Gonne"
260032,"Abbigliamento e accessori > Neonati > Abbigliamento > Intimo"
260029,"Abbigliamento e accessori > Neonati > Abbigliamento > Maglioni e cardigan"
260030,"Abbigliamento e accessori > Neonati > Abbigliamento > Mare e piscina"
260020,"Abbigliamento e accessori > Neonati > Abbigliamento > Parte bassa"
260031,"Abbigliamento e accessori > Neonati > Abbigliamento > T-shirt, maglie e camicie"
260021,"Abbigliamento e accessori > Neonati > Abbigliamento > Vestiti"
18786,"Abbigliamento e accessori > Neonati > Accessori > Accessori capelli"
163224,"Abbigliamento e accessori > Neonati > Accessori > Cappelli e berretti"
176966,"Abbigliamento e accessori > Neonati > Accessori > Cinture"
176968,"Abbigliamento e accessori > Neonati > Accessori > Cravatte"
163225,"Abbigliamento e accessori > Neonati > Accessori > Guanti e muffole"
176967,"Abbigliamento e accessori > Neonati > Accessori > Occhiali da sole"
175523,"Abbigliamento e accessori > Neonati > Accessori > Sciarpe"
